Company,Mortgage Total Number of Complaints
"AmeriHome Mortgage Company, LLC",646
"CITIZENS FINANCIAL GROUP, INC.",706
RoundPoint Mortgage Servicing Corporation,710
AMERISAVE MORTGAGE CORPORATION,710
"Dovenmuehle Mortgage, Inc.",782
"LAKEVIEW LOAN SERVICING, LLC",832
"Fay Servicing, LLC",885
"LD Holdings Group, LLC",910
"FLAGSTAR BANK, FSB",969
RUSHMORE LOAN MANAGEMENT SERVICES LLC,1079
"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",1092
"Seterus, Inc.",1112
PNC Bank N.A.,1177
"PENNYMAC LOAN SERVICES, LLC.",1216
"Caliber Home Loans, Inc.",1457
"CITIBANK, N.A.",1491
"CARRINGTON MORTGAGE SERVICES, LLC",1535
U.S. BANCORP,1636
"Rocket Mortgage, LLC",1667
Freedom Mortgage Company,2402
Specialized Loan Servicing Holdings LLC,2560
"LoanCare, LLC",2671
"Shellpoint Partners, LLC",3211
"SELECT PORTFOLIO SERVICING, INC.",3269
JPMORGAN CHASE & CO.,3574
Ditech Financial LLC,3619
"BANK OF AMERICA, NATIONAL ASSOCIATION",4982
Ocwen Financial Corporation,6417
NATIONSTAR MORTGAGE,6727
WELLS FARGO & COMPANY,7882
