,Company,Mortgage Total Company response to consumer Complaints
0,"AmeriHome Mortgage Company, LLC",4
1,"AmeriHome Mortgage Company, LLC",639
2,"AmeriHome Mortgage Company, LLC",3
3,"AmeriHome Mortgage Company, LLC",0
4,"CITIZENS FINANCIAL GROUP, INC.",2
5,"CITIZENS FINANCIAL GROUP, INC.",644
6,"CITIZENS FINANCIAL GROUP, INC.",60
7,"CITIZENS FINANCIAL GROUP, INC.",0
8,RoundPoint Mortgage Servicing Corporation,0
9,RoundPoint Mortgage Servicing Corporation,709
10,RoundPoint Mortgage Servicing Corporation,1
11,RoundPoint Mortgage Servicing Corporation,0
12,AMERISAVE MORTGAGE CORPORATION,9
13,AMERISAVE MORTGAGE CORPORATION,463
14,AMERISAVE MORTGAGE CORPORATION,238
15,AMERISAVE MORTGAGE CORPORATION,0
16,"Dovenmuehle Mortgage, Inc.",0
17,"Dovenmuehle Mortgage, Inc.",781
18,"Dovenmuehle Mortgage, Inc.",1
19,"Dovenmuehle Mortgage, Inc.",0
20,"LAKEVIEW LOAN SERVICING, LLC",1
21,"LAKEVIEW LOAN SERVICING, LLC",822
22,"LAKEVIEW LOAN SERVICING, LLC",8
23,"LAKEVIEW LOAN SERVICING, LLC",1
24,"Fay Servicing, LLC",0
25,"Fay Servicing, LLC",884
26,"Fay Servicing, LLC",0
27,"Fay Servicing, LLC",1
28,"LD Holdings Group, LLC",41
29,"LD Holdings Group, LLC",791
30,"LD Holdings Group, LLC",78
31,"LD Holdings Group, LLC",0
32,"FLAGSTAR BANK, FSB",2
33,"FLAGSTAR BANK, FSB",955
34,"FLAGSTAR BANK, FSB",11
35,"FLAGSTAR BANK, FSB",1
36,RUSHMORE LOAN MANAGEMENT SERVICES LLC,0
37,RUSHMORE LOAN MANAGEMENT SERVICES LLC,1079
38,RUSHMORE LOAN MANAGEMENT SERVICES LLC,0
39,RUSHMORE LOAN MANAGEMENT SERVICES LLC,0
40,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",0
41,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",1088
42,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",0
43,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",4
44,"Seterus, Inc.",1
45,"Seterus, Inc.",1079
46,"Seterus, Inc.",31
47,"Seterus, Inc.",1
48,PNC Bank N.A.,2
49,PNC Bank N.A.,1109
50,PNC Bank N.A.,15
51,PNC Bank N.A.,51
52,"PENNYMAC LOAN SERVICES, LLC.",74
53,"PENNYMAC LOAN SERVICES, LLC.",994
54,"PENNYMAC LOAN SERVICES, LLC.",148
55,"PENNYMAC LOAN SERVICES, LLC.",0
56,"Caliber Home Loans, Inc.",33
57,"Caliber Home Loans, Inc.",1343
58,"Caliber Home Loans, Inc.",73
59,"Caliber Home Loans, Inc.",8
60,"CITIBANK, N.A.",186
61,"CITIBANK, N.A.",1214
62,"CITIBANK, N.A.",82
63,"CITIBANK, N.A.",9
64,"CARRINGTON MORTGAGE SERVICES, LLC",0
65,"CARRINGTON MORTGAGE SERVICES, LLC",1527
66,"CARRINGTON MORTGAGE SERVICES, LLC",3
67,"CARRINGTON MORTGAGE SERVICES, LLC",5
68,U.S. BANCORP,271
69,U.S. BANCORP,1182
70,U.S. BANCORP,181
71,U.S. BANCORP,2
72,"Rocket Mortgage, LLC",17
73,"Rocket Mortgage, LLC",1530
74,"Rocket Mortgage, LLC",119
75,"Rocket Mortgage, LLC",1
76,Freedom Mortgage Company,0
77,Freedom Mortgage Company,2397
78,Freedom Mortgage Company,3
79,Freedom Mortgage Company,2
80,Specialized Loan Servicing Holdings LLC,0
81,Specialized Loan Servicing Holdings LLC,2550
82,Specialized Loan Servicing Holdings LLC,1
83,Specialized Loan Servicing Holdings LLC,9
84,"LoanCare, LLC",0
85,"LoanCare, LLC",2667
86,"LoanCare, LLC",4
87,"LoanCare, LLC",0
88,"Shellpoint Partners, LLC",24
89,"Shellpoint Partners, LLC",3157
90,"Shellpoint Partners, LLC",29
91,"Shellpoint Partners, LLC",1
92,"SELECT PORTFOLIO SERVICING, INC.",27
93,"SELECT PORTFOLIO SERVICING, INC.",3234
94,"SELECT PORTFOLIO SERVICING, INC.",8
95,"SELECT PORTFOLIO SERVICING, INC.",0
96,JPMORGAN CHASE & CO.,47
97,JPMORGAN CHASE & CO.,3324
98,JPMORGAN CHASE & CO.,187
99,JPMORGAN CHASE & CO.,16
100,Ditech Financial LLC,311
101,Ditech Financial LLC,3204
102,Ditech Financial LLC,102
103,Ditech Financial LLC,2
104,"BANK OF AMERICA, NATIONAL ASSOCIATION",715
105,"BANK OF AMERICA, NATIONAL ASSOCIATION",3696
106,"BANK OF AMERICA, NATIONAL ASSOCIATION",503
107,"BANK OF AMERICA, NATIONAL ASSOCIATION",68
108,Ocwen Financial Corporation,46
109,Ocwen Financial Corporation,6167
110,Ocwen Financial Corporation,27
111,Ocwen Financial Corporation,177
112,NATIONSTAR MORTGAGE,21
113,NATIONSTAR MORTGAGE,6594
114,NATIONSTAR MORTGAGE,6
115,NATIONSTAR MORTGAGE,106
116,WELLS FARGO & COMPANY,473
117,WELLS FARGO & COMPANY,6991
118,WELLS FARGO & COMPANY,392
119,WELLS FARGO & COMPANY,26
