,Company,Mortgage Total Tags Complaints
0,"AmeriHome Mortgage Company, LLC",80
1,"AmeriHome Mortgage Company, LLC",0
2,"AmeriHome Mortgage Company, LLC",15
3,"AmeriHome Mortgage Company, LLC",40
4,"CITIZENS FINANCIAL GROUP, INC.",50
5,"CITIZENS FINANCIAL GROUP, INC.",0
6,"CITIZENS FINANCIAL GROUP, INC.",12
7,"CITIZENS FINANCIAL GROUP, INC.",80
8,RoundPoint Mortgage Servicing Corporation,81
9,RoundPoint Mortgage Servicing Corporation,0
10,RoundPoint Mortgage Servicing Corporation,12
11,RoundPoint Mortgage Servicing Corporation,46
12,AMERISAVE MORTGAGE CORPORATION,79
13,AMERISAVE MORTGAGE CORPORATION,0
14,AMERISAVE MORTGAGE CORPORATION,19
15,AMERISAVE MORTGAGE CORPORATION,98
16,"Dovenmuehle Mortgage, Inc.",111
17,"Dovenmuehle Mortgage, Inc.",0
18,"Dovenmuehle Mortgage, Inc.",17
19,"Dovenmuehle Mortgage, Inc.",46
20,"LAKEVIEW LOAN SERVICING, LLC",152
21,"LAKEVIEW LOAN SERVICING, LLC",0
22,"LAKEVIEW LOAN SERVICING, LLC",27
23,"LAKEVIEW LOAN SERVICING, LLC",46
24,"Fay Servicing, LLC",57
25,"Fay Servicing, LLC",0
26,"Fay Servicing, LLC",16
27,"Fay Servicing, LLC",117
28,"LD Holdings Group, LLC",143
29,"LD Holdings Group, LLC",0
30,"LD Holdings Group, LLC",49
31,"LD Holdings Group, LLC",92
32,"FLAGSTAR BANK, FSB",132
33,"FLAGSTAR BANK, FSB",0
34,"FLAGSTAR BANK, FSB",24
35,"FLAGSTAR BANK, FSB",72
36,RUSHMORE LOAN MANAGEMENT SERVICES LLC,97
37,RUSHMORE LOAN MANAGEMENT SERVICES LLC,0
38,RUSHMORE LOAN MANAGEMENT SERVICES LLC,23
39,RUSHMORE LOAN MANAGEMENT SERVICES LLC,106
40,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",107
41,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",0
42,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",36
43,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",130
44,"Seterus, Inc.",49
45,"Seterus, Inc.",0
46,"Seterus, Inc.",20
47,"Seterus, Inc.",169
48,PNC Bank N.A.,74
49,PNC Bank N.A.,0
50,PNC Bank N.A.,18
51,PNC Bank N.A.,134
52,"PENNYMAC LOAN SERVICES, LLC.",247
53,"PENNYMAC LOAN SERVICES, LLC.",0
54,"PENNYMAC LOAN SERVICES, LLC.",39
55,"PENNYMAC LOAN SERVICES, LLC.",77
56,"Caliber Home Loans, Inc.",159
57,"Caliber Home Loans, Inc.",0
58,"Caliber Home Loans, Inc.",27
59,"Caliber Home Loans, Inc.",124
60,"CITIBANK, N.A.",95
61,"CITIBANK, N.A.",0
62,"CITIBANK, N.A.",28
63,"CITIBANK, N.A.",200
64,"CARRINGTON MORTGAGE SERVICES, LLC",220
65,"CARRINGTON MORTGAGE SERVICES, LLC",0
66,"CARRINGTON MORTGAGE SERVICES, LLC",34
67,"CARRINGTON MORTGAGE SERVICES, LLC",124
68,U.S. BANCORP,137
69,U.S. BANCORP,0
70,U.S. BANCORP,24
71,U.S. BANCORP,141
72,"Rocket Mortgage, LLC",194
73,"Rocket Mortgage, LLC",0
74,"Rocket Mortgage, LLC",66
75,"Rocket Mortgage, LLC",144
76,Freedom Mortgage Company,670
77,Freedom Mortgage Company,0
78,Freedom Mortgage Company,102
79,Freedom Mortgage Company,122
80,Specialized Loan Servicing Holdings LLC,204
81,Specialized Loan Servicing Holdings LLC,0
82,Specialized Loan Servicing Holdings LLC,78
83,Specialized Loan Servicing Holdings LLC,327
84,"LoanCare, LLC",379
85,"LoanCare, LLC",0
86,"LoanCare, LLC",67
87,"LoanCare, LLC",184
88,"Shellpoint Partners, LLC",360
89,"Shellpoint Partners, LLC",0
90,"Shellpoint Partners, LLC",85
91,"Shellpoint Partners, LLC",333
92,"SELECT PORTFOLIO SERVICING, INC.",263
93,"SELECT PORTFOLIO SERVICING, INC.",0
94,"SELECT PORTFOLIO SERVICING, INC.",82
95,"SELECT PORTFOLIO SERVICING, INC.",491
96,JPMORGAN CHASE & CO.,264
97,JPMORGAN CHASE & CO.,0
98,JPMORGAN CHASE & CO.,80
99,JPMORGAN CHASE & CO.,529
100,Ditech Financial LLC,286
101,Ditech Financial LLC,0
102,Ditech Financial LLC,57
103,Ditech Financial LLC,408
104,"BANK OF AMERICA, NATIONAL ASSOCIATION",380
105,"BANK OF AMERICA, NATIONAL ASSOCIATION",0
106,"BANK OF AMERICA, NATIONAL ASSOCIATION",138
107,"BANK OF AMERICA, NATIONAL ASSOCIATION",642
108,Ocwen Financial Corporation,567
109,Ocwen Financial Corporation,0
110,Ocwen Financial Corporation,154
111,Ocwen Financial Corporation,878
112,NATIONSTAR MORTGAGE,720
113,NATIONSTAR MORTGAGE,0
114,NATIONSTAR MORTGAGE,185
115,NATIONSTAR MORTGAGE,815
116,WELLS FARGO & COMPANY,723
117,WELLS FARGO & COMPANY,0
118,WELLS FARGO & COMPANY,214
119,WELLS FARGO & COMPANY,1071
