,Company
HSBC NORTH AMERICA HOLDINGS INC.,10809
Resurgent Capital Services L.P.,10918
ERC,11098
ALLY FINANCIAL INC.,11115
Santander Consumer USA Holdings Inc.,11788
"SELECT PORTFOLIO SERVICING, INC.",11992
BARCLAYS BANK DELAWARE,12160
AES/PHEAA,14222
Ditech Financial LLC,14953
"Paypal Holdings, Inc",15509
"Bread Financial Holdings, Inc.",16005
TD BANK US HOLDING COMPANY,18002
ENCORE CAPITAL GROUP INC.,18580
DISCOVER BANK,19191
PNC Bank N.A.,20155
PORTFOLIO RECOVERY ASSOCIATES INC,20736
AMERICAN EXPRESS COMPANY,23519
NATIONSTAR MORTGAGE,25899
U.S. BANCORP,28315
Ocwen Financial Corporation,32554
"Navient Solutions, LLC.",36406
SYNCHRONY FINANCIAL,37276
CAPITAL ONE FINANCIAL CORPORATION,66971
"CITIBANK, N.A.",75289
JPMORGAN CHASE & CO.,90100
WELLS FARGO & COMPANY,96455
"BANK OF AMERICA, NATIONAL ASSOCIATION",112947
Experian Information Solutions Inc.,313961
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",337257
"EQUIFAX, INC.",433382
